ICPOES_ID,Sample_ID,Lab.Field.Group,Location,Group,Easting,Northing,E.approx,N.approx,EC,EC_units,pH,PO4.P,SO4.S,Sample,Al,As,B,Ba,Ca,Ce,Co,Cr,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Ni,P,Pb,Rb,S,Se,Si,Sr,Ti,V,Y,Zn
ENVTXX61-OES-2024_51,2024-W19.04,ENVT3361-Group-03,Chapman Side,3,NA,NA,400110,6468046,NA,,NA,,NA,W19.04,0.062,0.003,2.558,0.071,352,NA,0.004,0.005,NA,0.098,326.9,0.006,0.163,1026.7,0.173,0.002,9663.9,0.002,0.056,0.014,0.34,712.3,0.002,3.05,6.779,NA,0.009,NA,NA
ENVTXX61-OES-2024_37,2024-W20.01,ENVT3361-Group-04,Chapman lower S,4,400067,6467984,400067,6467984,7.2,mS,7.8,0.008275,240.9132925,W20.01,0.097,0.004,2.579,0.057,358.2,NA,0,0.005,NA,0.025,343,0.006,0.175,1090,0.025,0.004,10461.8,0.002,0.054,0.012,0.352,765.3,0.007,2.55,7.252,NA,0.01,NA,NA
ENVTXX61-OES-2024_38,2024-W20.02,ENVT3361-Group-04,Chapman lower S,4,400068,6467988,400068,6467988,7.81,mS,7.72,0.010035,83.5576705,W20.02,0.078,0.008,2.569,0.058,364.4,NA,0.003,0.005,NA,0.03,343.8,0.007,0.171,1106,0.033,0.004,10557.2,0.002,0.034,0.007,0.34,773.5,0.003,2.52,7.091,NA,0.012,NA,NA
ENVTXX61-OES-2024_39,2024-W20.03,ENVT3361-Group-04,Chapman lower S,4,400069,6467985,400069,6467985,7.14,mS,7.73,0.017077,54.6450445,W20.03,0.109,0.005,2.584,0.058,357.9,NA,0.002,0.005,NA,0.038,343.3,0.007,0.172,1083.2,0.04,0.004,10354.4,0.002,0.036,0.012,0.35,761.2,0.004,2.53,7.061,NA,0.011,NA,NA
ENVTXX61-OES-2024_40,2024-W20.04,ENVT3361-Group-04,Chapman lower S,4,400063,6467983,400063,6467983,7.89,mS,7.77,0.010035,51.5897245,W20.04,0.086,0.004,2.606,0.056,361.6,NA,0.005,0.006,NA,0.02,345,0.007,0.176,1093.9,0.02,0.004,10433.6,0.002,0.041,0.001,0.339,760,0.001,2.52,7.091,NA,0.013,NA,NA
ENVTXX61-OES-2024_41,2024-W20.05,ENVT3361-Group-04,Chapman lower S,4,400063,6467981,400063,6467981,7.94,mS,7.79,0.018838,36.4658905,W20.05,0.094,0.005,2.549,0.055,362.9,NA,0.005,0.004,NA,0.021,349.8,0.007,0.172,1099.4,0.018,0.003,10493.9,0.002,0.046,0.015,0.348,771.3,0.003,2.49,7.001,NA,0.009,NA,NA
ENVTXX61-OES-2024_33,2024-W14.01,ENVT3361-Group-05,Chapman lower N,5,400408,6468319,400408,6468319,,,NA,,NA,W14.01,0.157,NA,0.113,0.074,52.9,NA,NA,0.002,0.004,1.956,18.1,0.003,0.002,13.1,0.364,NA,194.6,0.001,1.942,0.012,0.028,2.54,0.007,10.3,0.251,0,NA,NA,0.008
ENVTXX61-OES-2024_34,2024-W14.02,ENVT3361-Group-05,Chapman lower N,5,NA,NA,400412,6468323,,,NA,,NA,W14.02,0.165,NA,0.102,0.064,53.2,NA,0.001,0.002,NA,1.023,17.9,0.001,0.001,12.8,0.324,NA,196.4,0.002,1.638,0.006,0.026,2.28,0.007,10.47,0.255,0,NA,NA,0.008
ENVTXX61-OES-2024_35,2024-W14.03,ENVT3361-Group-05,Chapman lower N,5,NA,NA,400416,6468327,,,NA,,NA,W14.03,0.178,NA,0.097,0.079,53.5,0.001,0.001,0.001,0.004,1.876,17.8,0.003,0.001,12.9,0.336,NA,199.6,0.001,1.729,0.006,0.026,1.97,0.012,10.48,0.264,0,NA,NA,0.005
ENVTXX61-OES-2024_36,2024-W14.04,ENVT3361-Group-05,Chapman lower N,5,NA,NA,400404,6468315,,,NA,,NA,W14.04,0.174,NA,0.094,0.077,53.4,NA,0.001,0.001,0.002,1.879,17.6,0.001,0.001,13,0.348,NA,199.1,0.001,1.765,0.011,0.026,1.96,0.011,10.74,0.256,0,NA,NA,0.004
