Group,Sample,SampID,GSample,Drain,Zone,Type,DepthType,Easting,Northing,Longitude,Latitude,Depth_upper_cm,Depth_lower_cm,DepthMid,pH,EC,Microplastics_fragments,Microplastics_fibres,Microplastics_other,microbeads,MP_total,Al,As,Ba,Ca,Ce,Co,Cr,Cu,Fe,Gd,K,La,Li,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,S,Sr,Th,V,Y,Zn,REE
ENVT3361.10,AF_sed_45,2021_10_2,10_2,NA,SM,Saltmarsh,Surface,400337,6468095,115.9458225,-31.91866354,NA,NA,NA,5.81,8.61,250,3000,NA,NA,3250,39384,4.7,101,1539,133,10.4,77.5,162,45864,8.7,3737,67.3,32.9,4381,84,0.9,10994,51.9,24,471,60.6,1314,43.4,25.3,89.2,29.5,131.5,260.9
ENVT3361.10,AF_sed_46,2021_10_3,10_3,NA,SM,Saltmarsh,Surface,400337,6468095,115.9458225,-31.91866354,NA,NA,NA,5.72,6.75,500,2500,NA,NA,3000,36034,7.7,82,2115,127.4,18.5,71.5,148,42066,8.3,4452,64.7,36.2,4831,175.9,1.3,12223,49.9,28,662,48.9,1907,53.1,24,83.9,29.2,310.5,250.3
ENVT3361.10,AF_sed_47,2021_10_4,10_4,NA,SM,Saltmarsh,Surface,400360,6468094,115.9460656,-31.91867457,NA,NA,NA,6.08,6.33,500,1000,NA,NA,1500,41347,5.6,92,1340,110.6,14.4,77.3,260,48453,7.4,3973,54.3,33.7,4346,99.6,1.1,9306,43.1,26,828,61.9,1167,49.4,24.6,83.9,23.1,239.2,215.4
ENVT3361.10,AF_sed_48,2021_10_5,10_5,NA,SM,Saltmarsh,Surface,400429,6468064,115.9467923,-31.91895124,NA,NA,NA,5.81,7.7,500,500,NA,NA,1000,30038,9.8,27,2331,142.2,11.8,48.4,88,72469,9.6,2851,70.3,43,3635,64.8,8.4,8624,50.2,16,592,38.3,4623,43,16.3,73.5,38.1,195.4,272.3
ENVT3361.10,AF_sed_49,2021_10_6,10_6,NA,SM,Saltmarsh,Surface,400476,6468072,115.9472902,-31.91888319,NA,NA,NA,6.18,6.55,NA,NA,NA,NA,NA,41776,9.7,96,1601,107.8,10.8,79,239,37959,7.1,3488,53.3,31.1,4586,73.6,1.3,10452,43.5,25,718,253.3,1484,42.5,24.9,87.4,22.3,184.1,211.7
ENVT3361.10,NA,2021_10_7,10_7,NA,SM,Saltmarsh,Surface,400192,6468050,115.9442843,-31.91905672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35134,2.3,77,1408,107.6,16.1,72.7,274,41376,7.3,4425,53.7,33.9,4577,110.5,1.6,8879,42.9,26,664,91.8,1205,39.2,25.4,83.6,22.8,365.5,211.5
ENVT3361.1,AF_sed_50,2021_1_1,1_1,NA,SM,Saltmarsh,Surface,400216,6468016,115.9445347,-31.91936552,NA,NA,NA,5.33,9.43,NA,NA,NA,NA,NA,27243,6.8,72,1914,125.6,12.9,62.3,38,37459,8.1,3294,66.6,21.2,3981,231.1,1.9,11678,48.3,23,430,37.4,1640,46.5,19.7,82.4,30.6,57.6,248.6
ENVT3361.1,AF_sed_51,2021_1_2,1_2,NA,SM,Saltmarsh,Surface,400277,6468012,115.9451794,-31.91940696,NA,NA,NA,5.66,9.7,NA,499.25,NA,NA,499.25,30559,0.9,47,1146,118.7,8.1,58,31,35628,8.3,3085,53.5,29.5,3424,87.6,3.4,12267,47.6,19,346,27,1307,32.8,18.9,81.2,29.2,40.6,228.1
ENVT3361.1,AF_sed_52,2021_1_3,1_3,NA,SM,Saltmarsh,Surface,400310,6468007,115.9455279,-31.91945496,NA,NA,NA,5.94,8,NA,498.26,NA,NA,498.26,30793,3.3,44,1289,116.6,8.7,61.2,33,35626,8.1,3378,49.7,26.5,3261,154.8,2.7,10497,47,17,302,31.5,1088,31.8,20.7,84.7,27.7,45.5,221.4
ENVT3361.1,AF_sed_53,2021_1_4,1_4,NA,SM,Saltmarsh,Surface,400365,6468009,115.9461098,-31.91944175,NA,NA,NA,5.99,8.78,NA,997.01,NA,NA,997.01,21642,3,56,1638,148,8.8,52.4,32,29705,8.4,2885,84.9,24.5,3053,146.9,2.4,10629,52.7,18,324,28,1227,36.1,17.3,73.5,38.2,42.6,294
ENVT3361.1,AF_sed_54,2021_1_5,1_5,NA,SM,Saltmarsh,Surface,400446,6468014,115.9469669,-31.91940375,NA,NA,NA,4.91,8.55,NA,NA,NA,NA,NA,34121,1.3,91,1313,131.8,7.2,59.6,40,37687,9.6,3744,57.1,30,3174,80.9,2.8,10623,56.2,20,353,22,3313,100.6,18.4,80.1,29.3,24.4,254.7
ENVT3361.2,AF_sed_55,2021_2_1,2_1,NA,SM,Saltmarsh,Surface,400149,6467984,115.9438228,-31.91964829,NA,NA,NA,5.54,13.97,2500,7500,NA,NA,10000,28369,2.9,49,1890,94.9,16.9,62.4,80,36581,6.3,3196,46.7,22,4496,556.2,1.3,15454,38.2,22,477,47.7,1693,41.5,20.7,79.1,19.8,112,186.1
ENVT3361.2,AF_sed_56,2021_2_2,2_2,NA,SM,Saltmarsh,Surface,400271,6467978,115.9451124,-31.91971313,NA,NA,NA,4.97,11.71,7000,6000,NA,NA,13000,29631,1.6,37,632,95.3,7.3,56.3,30,42846,7.8,2975,37,34.4,3094,136.7,6.3,13550,42.3,14,313,24.7,1434,20.8,20,92.2,22.2,17.6,182.4
ENVT3361.2,AF_sed_57,2021_2_3,2_3,NA,SM,Saltmarsh,Surface,400329,6467985,115.9457266,-31.91965508,NA,NA,NA,4.66,15.51,2500,3000,NA,NA,5500,30010,NA,27,662,78,6.1,54.4,28,34346,6.6,2835,28.7,29.1,3564,78.3,3.4,14930,36.6,14,258,24.8,1550,20.4,17.6,83.2,16.6,21.7,149.9
ENVT3361.2,AF_sed_58,2021_2_4,2_4,NA,SM,Saltmarsh,Surface,400383,6467960,115.9462951,-31.91988533,NA,NA,NA,5.06,12.27,NA,1500,NA,NA,1500,29401,NA,43,823,137.3,9.2,58.5,30,37686,9.1,2946,62.9,29.8,3738,171.9,2.6,13807,52.4,17,294,29,1469,27.6,18.7,82.4,36.3,27.3,261.7
