"E","N"
388558.3,6460381
388558.1,6460380.1
388558.1,6460379.5
388557.9,6460378.6
388557.7,6460378
388557.3,6460377.4
388556.5,6460377.3
388555.5,6460376.5
388554.7,6460375.4
388554.4,6460374.3
388554.4,6460373.9
388554.4,6460372.8
388554.6,6460371.7
388554.5,6460370.5
388553.3,6460368.7
388551.8,6460368
388548.9,6460367.2
388546.8,6460366.3
388545,6460365.5
388543.2,6460364.8
388541.5,6460363.7
388539.9,6460362
388539.3,6460360.6
388539.5,6460358.7
388539.9,6460356.9
388539.2,6460353.9
388537.5,6460353.3
388535.5,6460352.9
388531.2,6460353.7
388527.8,6460353.3
388525,6460352.7
388522.7,6460352
388519.5,6460351.2
388514.3,6460349.5
388511.1,6460348.4
388507.9,6460347.7
388504.7,6460346.8
388501.5,6460346.2
388496.5,6460344.7
388489.2,6460342.3
388488.6,6460342
388486.4,6460340.6
388484.6,6460338.8
388482.8,6460336.7
388481.3,6460334.9
388480.1,6460333.2
388479.2,6460331
388478.1,6460329.4
388476.5,6460328.1
388474.6,6460327.7
388472.7,6460327.6
388470.2,6460327.5
388467.8,6460327.1
388465.4,6460327.3
388461,6460329.8
388459.2,6460329.7
388457.5,6460328.6
388456,6460327.7
388454,6460327.3
388453.7,6460326.1
388454.8,6460325.5
388456.3,6460324.2
388457.2,6460322.6
388456.8,6460321.5
388454.9,6460320.6
388451.8,6460319.8
388448.9,6460318.6
388446.2,6460317.5
388443.3,6460316.1
388436.4,6460313.1
388434.2,6460311.8
388432.4,6460311
388431,6460310
388430.6,6460309.9
388429.9,6460309.3
388429.5,6460309.2
388429.2,6460308.9
388428.8,6460308.8
388426.7,6460307.9
388425.8,6460307.2
388423.5,6460305.8
388423,6460305.4
388421.8,6460304.1
388419.7,6460302.4
388418.6,6460301.1
388417.7,6460300.3
388416.7,6460299
388416.4,6460298.2
388416.4,6460297.4
388416.7,6460296.6
388417.4,6460295.3
388417.7,6460294.3
388417.5,6460293.7
388416.8,6460293.2
388413.5,6460291.6
388410.5,6460290.5
388408.7,6460289.4
388408.1,6460289.1
388406.3,6460287.9
388405.8,6460287.4
388404,6460286.2
388402.9,6460285.4
388401.9,6460284.4
388400.4,6460285.3
388400.6,6460282.6
388399.1,6460280.9
388398,6460279.9
388397.5,6460279.4
388395.3,6460277.3
388394.8,6460276.6
388393.1,6460274.9
388392,6460273.6
388388.4,6460270.4
388385.5,6460266.9
388384.7,6460265.6
388384.4,6460265.3
388382.7,6460263.3
388382.1,6460263
388381.3,6460261.6
388380.9,6460260.8
388380.7,6460260
388380.7,6460258.5
388381,6460257.6
388381.3,6460256.6
388381.3,6460255.3
388381,6460254.7
388380.7,6460254.4
388380.4,6460254.1
388379.8,6460253.8
388378.6,6460253.3
388377.9,6460252.7
388377.2,6460252
388375.5,6460250.8
388374.4,6460249.8
388372.6,6460247.7
388371.8,6460246.9
388371.3,6460246.6
388370.3,6460245.4
388368.6,6460242.9
388368.3,6460242.3
388367,6460240.3
388366.8,6460239.8
388365.9,6460238.1
388365.1,6460236.7
388364.3,6460235.3
388363.1,6460233.7
388361.8,6460230.4
388361.4,6460229.6
388360.7,6460227.7
388360,6460226.3
388359.5,6460224.7
388359.2,6460224.3
388358.9,6460223.4
388358.7,6460222.6
388358.7,6460219.8
388359,6460218.4
388359.4,6460217.1
388359.6,6460216.2
388359.6,6460214.8
388359.3,6460214.1
388358.7,6460213.7
388357.1,6460211.5
388355.5,6460210.3
388354.6,6460209
388354.4,6460208.6
388353.9,6460207.7
388353.2,6460206.7
388352.9,6460206.6
388352.6,6460206.2
388352,6460205.8
388351.7,6460205.5
388351.1,6460205
388350.9,6460204.7
388350.5,6460204.4
388350.1,6460203.8
388349.5,6460202.4
388349.1,6460201.3
388348.4,6460199.3
388348.1,6460198.2
388347.2,6460196.1
388345.3,6460192.8
388345.1,6460192.3
388344.6,6460191.5
388343.9,6460189.8
388343.1,6460188.6
388342.7,6460187.7
388341.7,6460184.8
388341.4,6460184.4
388340.8,6460182.9
388340.3,6460181.6
388339.8,6460180
388339.4,6460179
388339.1,6460177.6
388338.6,6460176.1
388338.4,6460175.3
388338.1,6460174.3
388337.8,6460174
388337.1,6460172.2
388336.7,6460170.9
388336.5,6460168.6
388336.4,6460167
388336,6460165.5
388333.8,6460161.8
388333.4,6460160.8
388332.4,6460158.5
388331.6,6460157
388331.1,6460156.1
388329.5,6460154.1
388328.5,6460153.1
388327.2,6460151.4
388323.8,6460149
388322.7,6460149.4
388254.3,6460149
388295.3,6460183.7
388379.7,6460332.9
388399.5,6460362.7
388398.9,6460413.4
388398.7,6460427.1
388398.2,6460471
388406.4,6460471.1
388417.8,6460471.7
388467.6,6460464
388517,6460451.2
388561.2,6460445.9
388602.3,6460452.6
388639.1,6460474.2
388668.5,6460505.1
388688.2,6460542.9
388696.6,6460584.7
388693.1,6460627.2
388678,6460667
388666.5,6460687.8
388574.1,6460855.9
388563.2,6460925.9
388559.6,6460980.1
388578.6,6460980.6
388636,6460982.2
388638.2,6460982.2
388638.5,6460978.6
388639.1,6460976.2
388639.7,6460973.9
388641.6,6460966.8
388641.7,6460965.7
388641.9,6460964.2
388642.1,6460962.7
388642.8,6460959.5
388643,6460958
388643.5,6460956
388644.1,6460953.9
388644.5,6460951.7
388644.9,6460950.5
388645.5,6460948.7
388645.9,6460947.1
388647.4,6460942.5
388648.2,6460940.7
388649.5,6460938.2
388650.1,6460936.6
388650.3,6460935.2
388650.9,6460933.6
388651.4,6460931.3
388651.9,6460930.1
388652,6460929.6
388653,6460927.3
388653.6,6460925.5
388654.3,6460922.8
388654.6,6460922.2
388654.7,6460921.5
388655.8,6460918.6
388657.7,6460913.4
388659.4,6460907.7
388659.6,6460907.2
388661.2,6460902.7
388662.2,6460899.1
388662.6,6460898
388663.5,6460895.3
388664.1,6460893.1
388664.8,6460891.7
388666.6,6460887
388667.6,6460883.9
388669.6,6460879.4
388669.9,6460878.6
388670.9,6460876.5
388671.7,6460875.3
388673.5,6460872.2
388674.2,6460870.6
388676.2,6460866.9
388677.4,6460863.7
388679.4,6460859.9
388680.6,6460857.4
